11,Helleborne False,Veratrum viride,0
12,Hemlock Poison Black,Conium maculatum,0
13,Hemock Water,Oenanthe,0
15,Herb Mercury,Mercurialis annua,0
16,Himalayan Mayapple,Sinopodophyllum hexandrum,0
17,Holly,Cyrtomium falcatum,0
18,Hydrangea,Hydrangea macrophylla,0
19,Indian Heliotrope,Heliotropium indicum,0
20,Poison ivy,Toxicodendron radicans,0
21,Jack in the  pulpit,Arisaema triphyllum,0
22,Jimson Weed,Datura stramonium,0
23,Lantana,Lantana,0
24,Larkspur,Delphinium,0
25,Lupine,Lupinus,0
1011,Taro,Colocasia esculenta,1
1012,Thimbleberry,Rubus parviflorus,1
1013,Thistle,Cirsium vulgare,1
1014,Sow thistles,Sonchus,1
1015,Trillium,Trillium,1
1016,Wild Tulip,Tulipa sylvestris,1
1017,Tumbleweed,Salsola,0
1018,Twisted Stalk,Streptopus amplexifolius,1
1019,Walnut,Juglan,1
1020,Wapato,Sagittaria latifolia,1
1021,Water Lily,Nymphaeaceae,1
1022,Water Chestnut,Eleocharis dulcis,1
1023,Watercress,Nasturtium officinale,1
1024,White Sapote-Matasano,Casimiroa edulis,1
1025,Wild Onion,Allium vineale,1
1026,Yam,Dioscorea alata,1
1027,Yarrow,Achillea millefolium,1
1028,Yuca Cassava,Manihot esculenta,1
1029,Yucca,Yucca filamentosa,0
1030,Ackee,Blighia sapida,1
1031,Air Potato Wild Yam,Dioscorea bulbifera,0
1032,Amaryllis,Hippeastrum,0
1033,Anemone European Wood,Anemone nemorosa,0
1034,Angels Trumpet,Brugmansia,0
1035,Apple Sodom,Calotropis procera,0
1036,Autumn Crocus,Colchicum autumnale,0
1037,Azaleas,Rhododendron,0
1038,Baneberry,Actaea,0
1040,Bean Velet,Mucuna pruriens,1
1041,Belladonna,Atropa belladonna,0
1042,Bitter Apple,Citrullus colocynthis,0
1043,Bittersweet,Celastrus,0
1044,Bleeding Heart,Lamprocapnos spectabilis,0
1045,Bryony Black,Dioscorea communis,0
1046,Buttercup,Ranunculus,0
1047,Candelabra tree,Euphorbia ingens,0
1048,Caper Spurge,Euphorbia lathyris,0
1049,Carolina Horsenettle,Solanum carolinense,0
1050,Cashew,Anacardium occidentale,1
1051,Castor Bean,Ricinus communis,0
1052,Chinaberry Jacinto,Melia azedarach,0
1053,Coyote Melon,Cucurbita californica,0
1054,Croton Purging,Croton tiglium,0
1055,Death Camass,Zigadenus venenosus,0
1056,Derris Common,Derris,0
1057,Dumb canes,Dieffenbachia,0
1058,Duchesnea,Duchesnea indica,1
1059,Dutchman's breeches,Dicentra cucullaria,0
1060,Golden Trumpet,Allamanda cathartica,0
1061,hellebore,Helleborus,0
2011,Abal,Calligonum comosum,0
2012,Sweet Acacia,Vachellia farnesiana,1
2013,Century Plant (Agave),Agave americana,1
2014,Almond,Prunus dulcis,1
2015,Amaranth,Amaranthus,1
2016,Apple Custard/Bullock Heart,Annona reticulata,1
2017,Malay Apple Rose,Syzygium malaccense,1
2018,Snot Apple,Thespesia,1
2019,Star Apple,Chrysophyllum cainito,1
2020,Arrowroot,Maranta arundinacea,1
2021,Bael Fruit,Aegle marmelos,1
2022,Bamboo,Bambusoideae,1
2023,Banana Wild,Musa balbisiana,1
2024,Baobab (Monkey Bread Tree),Adansonia,1
2025,Barberry (Taiwan),Mahonia oiwakensis,1
2026,Barrel Cactus,Echinocactus grusonii,1
2027,Bean Goa,Psophocarpus tetragonolobus,1
2028,Bignay,Antidesma bunius,1
2029,Bistort (Knotweed),Bistorta,1
2030,Blackberry,Rubus fruticosus,1
2031,Blue camas (Quamash),Camassia quamash,1
2032,"Hyacinth (Bl. Dick, Sq. Potato)",Hyacinthus,1
2033,Blueberry,Cyanococcus,1
2034,Box Thorn (Wolfberry),Lycium,1
2035,Chinese Box Thorn (Wolfberry),Lycium chinense,1
2036,Breadfruit,Artocarpus altilis,1
2037,Chinese Broccoli (Kale),Brassica oleracea Alboglabra Group,1
2038,Bunchberry,Cornus canadensis,1
2039,Bulrush,Scirpoides holoschoenus,1
2040,Burdock,Arctium,1
2041,Cacao,Theobroma cacao,1
2042,Camote,Ipomoea batatas,1
2043,Canyon Grape,Vitis arizonica,1
2044,Caper,Capparis spinosa,1
2045,Cattail,Typha,1
2046,Nanking Cherry,Prunus tomentosa,1
2047,Chestnut,Castanea,1
2048,Chickweed,Stellaria media,1
2049,Chicory,Cichorium intybus,1
2050,Chinese chive,Allium tuberosum,1
2051,Chocolate Vine,Akebia quinata,1
2052,Cholla,Cylindropuntia,1
2053,Chuporsa,Justicia californica,1
2054,Coconut,Cocos nucifera,1
2055,Dandelion,Taraxacum,1
2057,Devil's Claw,Harpagophytum,1
2058,Curly Dock,Rumex crispus,1
2059,Wild sorrel,Oxalis,1
2060,Elderberry,Sambucus,1
2061,False Solomon Seal,Maianthemum racemosum,1
2062,Fern Bracken,Pteridium,1
2063,Wild Fig,Ficus citrifolia,1
2064,Fingertips,Dudleya edulis,1
2065,Fireweed,Chamaenerion angustifolium,1
2066,Gooseberry,Ribes grossularia,1
2067,Desert Gourd,Citrullus colocynthis,1
2068,Oregon Grape,Mahonia aquifolium,1
2069,Wild Grape,Vitis vinifera,1
2070,Bejuco De Agua (Varient of Grape Species),Vitis tiliifolia,1
2071,Greenbrier,Smilax,1
2072,Guava,Psidium guajava,1
2073,Hackberry,Celtis occidentalis,1
2074,Hibiscus Sea,Hibiscus tiliaceus,1
2075,Mountain Huckleberry,Vaccinium membranaceum,1
2076,Water Hyacinth,Eichhornia crassipes,1
2077,Indian Corn (Flint Corn),Zea Mays,1
2078,Jackfruit,Artocarpus heterophyllus,1
2079,Javanese Bishopwood,Bischofia javanica,1
2080,Joshua Tree,Yucca brevifolia,1
2081,Jujube,Ziziphus mauritiana,1
2082,Juniper,Juniperus,1
2083,Kinnikinnick (Bearberry),Arctostaphylos uva-ursi,1
2084,Lamb Quarters (Pigweed),Chenopodium album,1
2085,Common Day-lily,Hemerocallis fulva,1
2086,Miner's Lettuce,Claytonia perfoliata,1
2087,Longan Fruit,Dimocarpus longan,1
2088,Loquat,Eriobotrya japonica,1
2089,Lychee,Litchi chinensis,1
2090,Magnolia Vine,Schisandra chinensis,1
2091,Mamey,Pouteria sapota,1
3011,Mango,Mangifera indica,1
3012,Mangosteen,Garcinia mangostana,1
3013,Medlar,Mespilus germanica,1
3014,Mesquiete,Prosopis,1
3015,Miners Lettuce,Claytonia perfoliata,1
3016,"Mizuna Greens, Mizuna Mustard",Brassica juncea,1
3017,Mulberry,Morus,1
3018,Mulberry Paper,Broussonetia papyrifera,1
3019,Musk Mallow,Abelmoschus moschatus,1
3020,Mustard Black,Brassica nigra,1
3021,Nance,Byrsonima crassifolia,1
3022,Stinging Nettle,Urtica dioica,1
3023,Peanut,Arachis hypogaea,1
3024,Hazelnut,Corylus avellana,1
3025,Marula,Sclerocarya birrea,1
3026,Pinyon,Pinus edulis,1
3027,Oak,Quercus,1
3028,Wild Onions,Allium,1
3029,Buri Palm,Corypha utan,0
3030,Black Palm,Astrocaryum standleyanum,1
3031,Date Palm,Phoenix dactylifera,1
3032,Fishtail Palm,Caryota,0
3033,Nipa Palm,Nypa fruticans,1
